Phase,Epoch,BatchIdx,SamplesSeen,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy
pretrain,15,6,42216,0.809906,0.798408,0.821622,0.803333
pretrain,15,11,42536,0.816600,0.809019,0.824324,0.806667
pretrain,15,16,42856,0.811245,0.801061,0.821622,0.805556
pretrain,15,21,43176,0.812584,0.785146,0.840541,0.806667
pretrain,15,26,43496,0.809906,0.777188,0.843243,0.806667
pretrain,15,31,43816,0.815261,0.790451,0.840541,0.806667
pretrain,15,36,44136,0.812584,0.787798,0.837838,0.806667
pretrain,15,41,44456,0.815261,0.793103,0.837838,0.812222
pretrain,15,47,44820,0.812584,0.803714,0.821622,0.813333
pretrain,16,1,44884,0.813922,0.809019,0.818919,0.812222
pretrain,16,6,45204,0.813922,0.806366,0.821622,0.813333
pretrain,16,11,45524,0.813922,0.798408,0.829730,0.811111
pretrain,16,16,45844,0.811245,0.777188,0.845946,0.813333
pretrain,16,21,46164,0.805890,0.750663,0.862162,0.807778
pretrain,16,26,46484,0.805890,0.755968,0.856757,0.812222
pretrain,16,31,46804,0.811245,0.779841,0.843243,0.808889
pretrain,16,36,47124,0.815261,0.809019,0.821622,0.810000
pretrain,16,41,47444,0.819277,0.814324,0.824324,0.815556
pretrain,16,47,47808,0.816600,0.809019,0.824324,0.816667
pretrain,17,1,47872,0.813922,0.806366,0.821622,0.814444
pretrain,17,6,48192,0.811245,0.790451,0.832432,0.814444
pretrain,17,11,48512,0.808568,0.782493,0.835135,0.813333
pretrain,17,16,48832,0.803213,0.779841,0.827027,0.818889
pretrain,17,21,49152,0.808568,0.774536,0.843243,0.811111
pretrain,17,26,49472,0.805890,0.771883,0.840541,0.814444
pretrain,17,31,49792,0.809906,0.782493,0.837838,0.817778
pretrain,17,36,50112,0.801874,0.771883,0.832432,0.821111
pretrain,17,41,50432,0.812584,0.795756,0.829730,0.815556
pretrain,17,47,50796,0.805890,0.793103,0.818919,0.817778
pretrain,18,1,50860,0.799197,0.790451,0.808108,0.820000
pretrain,18,6,51180,0.809906,0.803714,0.816216,0.817778
pretrain,18,11,51500,0.804552,0.795756,0.813514,0.814444
pretrain,18,16,51820,0.805890,0.793103,0.818919,0.814444
pretrain,18,21,52140,0.803213,0.795756,0.810811,0.816667
pretrain,18,26,52460,0.809906,0.798408,0.821622,0.818889
pretrain,18,31,52780,0.804552,0.798408,0.810811,0.820000
pretrain,18,36,53100,0.809906,0.777188,0.843243,0.817778
pretrain,18,41,53420,0.805890,0.761273,0.851351,0.814444
pretrain,18,47,53784,0.811245,0.766578,0.856757,0.812222
pretrain,19,1,53848,0.816600,0.774536,0.859459,0.813333
pretrain,19,6,54168,0.812584,0.779841,0.845946,0.818889
pretrain,19,11,54488,0.813922,0.795756,0.832432,0.816667
pretrain,19,16,54808,0.809906,0.785146,0.835135,0.816667
pretrain,19,21,55128,0.808568,0.779841,0.837838,0.818889
pretrain,19,26,55448,0.811245,0.787798,0.835135,0.818889
pretrain,19,31,55768,0.801874,0.766578,0.837838,0.815556
pretrain,19,36,56088,0.808568,0.774536,0.843243,0.815556
pretrain,19,41,56408,0.805890,0.771883,0.840541,0.818889
pretrain,19,47,56772,0.813922,0.795756,0.832432,0.813333
pretrain,20,1,56836,0.815261,0.798408,0.832432,0.816667
pretrain,20,6,57156,0.813922,0.809019,0.818919,0.814444
pretrain,20,11,57476,0.812584,0.801061,0.824324,0.816667
pretrain,20,16,57796,0.816600,0.801061,0.832432,0.816667
pretrain,20,21,58116,0.813922,0.793103,0.835135,0.820000
pretrain,20,26,58436,0.816600,0.803714,0.829730,0.822222
pretrain,20,31,58756,0.821954,0.809019,0.835135,0.822222
pretrain,20,36,59076,0.816600,0.801061,0.832432,0.822222
pretrain,20,41,59396,0.816600,0.801061,0.832432,0.815556
pretrain,20,47,59760,0.813922,0.795756,0.832432,0.818889
