Phase,Epoch,BatchIdx,SamplesSeen,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,Test_Accuracy
pretrain,11,11,30234,0.793758,0.849057,0.737705,0.800000
pretrain,11,16,30554,0.777476,0.746631,0.808743,0.814815
pretrain,11,21,30874,0.780190,0.760108,0.800546,0.817989
pretrain,11,26,31194,0.786974,0.722372,0.852459,0.822222
pretrain,11,31,31514,0.795115,0.778976,0.811475,0.820106
pretrain,11,36,31834,0.792402,0.762803,0.822404,0.822222
pretrain,11,41,32154,0.795115,0.781671,0.808743,0.816931
pretrain,11,47,32483,0.781547,0.762803,0.800546,0.820106
pretrain,12,1,32547,0.780190,0.757412,0.803279,0.817989
pretrain,12,6,32867,0.770692,0.743935,0.797814,0.819048
pretrain,12,11,33187,0.785617,0.811321,0.759563,0.811640
pretrain,12,16,33507,0.800543,0.770889,0.830601,0.815873
pretrain,12,21,33827,0.789688,0.760108,0.819672,0.823280
pretrain,12,26,34147,0.795115,0.819407,0.770492,0.814815
pretrain,12,31,34467,0.793758,0.816712,0.770492,0.814815
pretrain,12,36,34787,0.792402,0.778976,0.806011,0.819048
pretrain,12,41,35107,0.803256,0.773585,0.833333,0.813757
pretrain,12,47,35436,0.795115,0.746631,0.844262,0.816931
pretrain,13,1,35500,0.789688,0.730458,0.849727,0.816931
pretrain,13,6,35820,0.791045,0.719677,0.863388,0.815873
pretrain,13,11,36140,0.800543,0.768194,0.833333,0.817989
pretrain,13,16,36460,0.804613,0.784367,0.825137,0.817989
pretrain,13,21,36780,0.792402,0.789757,0.795082,0.816931
pretrain,13,26,37100,0.789688,0.797844,0.781421,0.817989
pretrain,13,31,37420,0.792402,0.797844,0.786885,0.816931
pretrain,13,36,37740,0.805970,0.768194,0.844262,0.820106
pretrain,13,41,38060,0.803256,0.787062,0.819672,0.815873
pretrain,13,47,38389,0.791045,0.805930,0.775956,0.814815
pretrain,14,1,38453,0.789688,0.811321,0.767760,0.814815
pretrain,14,6,38773,0.780190,0.797844,0.762295,0.815873
pretrain,14,11,39093,0.778833,0.789757,0.767760,0.817989
pretrain,14,16,39413,0.777476,0.727763,0.827869,0.825397
pretrain,14,21,39733,0.777476,0.714286,0.841530,0.823280
pretrain,14,26,40053,0.786974,0.757412,0.816940,0.820106
pretrain,14,31,40373,0.795115,0.770889,0.819672,0.817989
pretrain,14,36,40693,0.799186,0.789757,0.808743,0.814815
pretrain,14,41,41013,0.801900,0.805930,0.797814,0.816931
pretrain,14,47,41342,0.799186,0.830189,0.767760,0.812698
pretrain,15,1,41406,0.796472,0.835580,0.756831,0.808466
pretrain,15,6,41726,0.786974,0.824798,0.748634,0.814815
pretrain,15,11,42046,0.782904,0.781671,0.784153,0.824339
pretrain,15,16,42366,0.776119,0.735849,0.816940,0.827513
pretrain,15,21,42686,0.782904,0.730458,0.836066,0.825397
pretrain,15,26,43006,0.781547,0.735849,0.827869,0.827513
pretrain,15,31,43326,0.788331,0.800539,0.775956,0.823280
pretrain,15,36,43646,0.795115,0.819407,0.770492,0.813757
pretrain,15,41,43966,0.799186,0.797844,0.800546,0.816931
pretrain,15,47,44295,0.801900,0.768194,0.836066,0.812698
pretrain,16,1,44359,0.804613,0.762803,0.846995,0.813757
pretrain,16,6,44679,0.797829,0.733154,0.863388,0.809524
pretrain,16,11,44999,0.793758,0.746631,0.841530,0.819048
pretrain,16,16,45319,0.791045,0.778976,0.803279,0.819048
pretrain,16,21,45639,0.800543,0.811321,0.789617,0.821164
pretrain,16,26,45959,0.799186,0.816712,0.781421,0.820106
pretrain,16,31,46279,0.788331,0.760108,0.816940,0.826455
pretrain,16,36,46599,0.785617,0.741240,0.830601,0.827513
pretrain,16,41,46919,0.788331,0.778976,0.797814,0.826455
pretrain,16,47,47248,0.795115,0.803235,0.786885,0.820106
pretrain,17,1,47312,0.792402,0.808625,0.775956,0.816931
pretrain,17,6,47632,0.791045,0.803235,0.778689,0.814815
pretrain,17,11,47952,0.803256,0.803235,0.803279,0.814815
pretrain,17,16,48272,0.793758,0.773585,0.814208,0.817989
pretrain,17,21,48592,0.791045,0.770889,0.811475,0.819048
pretrain,17,26,48912,0.792402,0.768194,0.816940,0.822222
pretrain,17,31,49232,0.791045,0.757412,0.825137,0.823280
pretrain,17,36,49552,0.781547,0.743935,0.819672,0.823280
pretrain,17,41,49872,0.788331,0.770889,0.806011,0.820106
pretrain,17,47,50201,0.792402,0.797844,0.786885,0.819048
pretrain,18,1,50265,0.792402,0.792453,0.792350,0.815873
pretrain,18,6,50585,0.792402,0.784367,0.800546,0.811640
pretrain,18,11,50905,0.795115,0.770889,0.819672,0.813757
pretrain,18,16,51225,0.795115,0.770889,0.819672,0.819048
pretrain,18,21,51545,0.789688,0.757412,0.822404,0.819048
pretrain,18,26,51865,0.792402,0.760108,0.825137,0.821164
pretrain,18,31,52185,0.793758,0.778976,0.808743,0.821164
pretrain,18,36,52505,0.799186,0.803235,0.795082,0.816931
pretrain,18,41,52825,0.800543,0.803235,0.797814,0.816931
pretrain,18,47,53154,0.801900,0.789757,0.814208,0.812698
pretrain,19,1,53218,0.800543,0.787062,0.814208,0.814815
pretrain,19,6,53538,0.803256,0.768194,0.838798,0.816931
pretrain,19,11,53858,0.801900,0.768194,0.836066,0.817989
pretrain,19,16,54178,0.797829,0.762803,0.833333,0.819048
pretrain,19,21,54498,0.796472,0.765499,0.827869,0.819048
pretrain,19,26,54818,0.795115,0.768194,0.822404,0.819048
pretrain,19,31,55138,0.796472,0.781671,0.811475,0.821164
pretrain,19,36,55458,0.785617,0.770889,0.800546,0.822222
pretrain,19,41,55778,0.791045,0.776280,0.806011,0.823280
pretrain,19,47,56107,0.786974,0.765499,0.808743,0.823280
pretrain,20,1,56171,0.785617,0.760108,0.811475,0.822222
pretrain,20,6,56491,0.793758,0.776280,0.811475,0.821164
pretrain,20,11,56811,0.789688,0.773585,0.806011,0.816931
pretrain,20,16,57131,0.791045,0.776280,0.806011,0.816931
pretrain,20,21,57451,0.795115,0.768194,0.822404,0.815873
pretrain,20,26,57771,0.795115,0.765499,0.825137,0.812698
pretrain,20,31,58091,0.793758,0.765499,0.822404,0.819048
pretrain,20,36,58411,0.793758,0.762803,0.825137,0.815873
pretrain,20,41,58731,0.791045,0.768194,0.814208,0.821164
pretrain,20,47,59060,0.788331,0.776280,0.800546,0.822222
