w_pre,w_postq,w_postqn
-0.24274606,-0.333,-0.22648284
0.09973129,0.0,-0.14795269
-0.18783306,-0.333,-0.333
0.30167797,0.333,0.333
-0.054770272,-0.0,-0.053957395
-0.038302712,-0.0,-0.010308341
0.25089002,0.333,0.333
-0.12399341,-0.0,-0.07389792
-0.20869574,-0.333,-0.333
0.033041257,0.0,0.00434768
0.18270777,0.333,0.333
-0.17971545,-0.333,-0.333
-0.24372154,-0.333,-0.333
-0.27729473,-0.333,-0.28248546
-0.31791607,-0.333,-0.333
0.24841407,0.333,0.28147742
-0.06273068,-0.0,-0.036340464
0.10755854,0.0,-0.07287312
-0.08841915,-0.0,-0.040632766
0.26285556,0.333,0.333
0.11968491,0.0,0.111962035
0.16574378,0.0,-0.04759299
0.031006882,0.0,0.15398014
0.115744464,0.0,-0.14084914
0.18314728,0.333,0.23840508
-0.25937426,-0.333,-0.333
0.2879096,0.333,0.333
