,Fold,Val_Accuracy,Class0_Accuracy,Class1_Accuracy,subject_id
243,4,0.9,1.0,0.8,61
244,1,0.8333,0.8333,0.8333,62
245,2,0.9167,0.8333,1.0,62
246,3,1.0,1.0,1.0,62
247,4,0.8,1.0,0.6,62
248,1,0.6667,0.5,0.8333,63
249,2,0.75,0.8333,0.6667,63
250,3,1.0,1.0,1.0,63
251,4,0.5,0.4,0.6,63
252,1,0.6667,0.3333,1.0,64
253,2,0.6667,0.5,0.8333,64
254,3,0.5455,0.5,0.6,64
255,4,0.6,0.4,0.8,64
256,1,0.9167,0.8333,1.0,65
257,2,0.8182,0.8333,0.8,65
258,3,0.7273,0.6667,0.8,65
259,4,0.8182,0.6667,1.0,65
260,1,0.8333,0.8333,0.8333,66
261,2,0.75,0.8333,0.6667,66
262,3,0.8182,0.8,0.8333,66
263,4,0.8,0.8,0.8,66
264,1,0.25,0.1667,0.3333,67
265,2,0.5833,0.5,0.6667,67
266,3,0.7273,0.4,1.0,67
267,4,0.8,0.6,1.0,67
268,1,0.75,0.8333,0.6667,68
269,2,0.9167,1.0,0.8333,68
270,3,1.0,1.0,1.0,68
271,4,0.8,1.0,0.6,68
272,1,0.6667,0.8333,0.5,69
273,2,0.9091,0.8333,1.0,69
274,3,0.7273,0.5,1.0,69
275,4,0.7273,1.0,0.4,69
276,1,1.0,1.0,1.0,70
277,2,0.9167,0.8333,1.0,70
278,3,1.0,1.0,1.0,70
279,4,0.9,1.0,0.8,70
280,1,0.9167,0.8333,1.0,71
281,2,1.0,1.0,1.0,71
282,3,1.0,1.0,1.0,71
283,4,0.9,0.8,1.0,71
284,1,0.75,1.0,0.5,72
285,2,0.75,0.8333,0.6667,72
286,3,0.7273,0.8,0.6667,72
287,4,0.8,0.8,0.8,72
288,1,0.6667,0.6667,0.6667,73
289,2,0.9167,0.8333,1.0,73
290,3,1.0,1.0,1.0,73
291,4,0.8,1.0,0.6,73
292,1,0.9167,1.0,0.8333,74
293,2,1.0,1.0,1.0,74
294,3,0.6364,0.5,0.8,74
295,4,0.9091,0.8333,1.0,74
296,1,0.5,0.5,0.5,75
297,2,0.75,0.6667,0.8333,75
298,3,0.8182,0.8,0.8333,75
299,4,0.7,0.6,0.8,75
300,1,0.5833,0.5,0.6667,76
301,2,0.75,0.6667,0.8333,76
302,3,0.3636,0.3333,0.4,76
303,4,0.7,0.6,0.8,76
304,1,0.5833,0.6667,0.5,77
305,2,0.9091,0.8,1.0,77
306,3,0.6364,0.6,0.6667,77
307,4,0.8182,0.6,1.0,77
308,1,0.6667,0.5,0.8333,78
309,2,0.6667,0.3333,1.0,78
310,3,0.5455,0.3333,0.8,78
311,4,0.3,0.2,0.4,78
312,1,0.8333,0.8333,0.8333,79
313,2,0.5833,0.5,0.6667,79
314,3,0.7273,0.4,1.0,79
315,4,0.9,0.8,1.0,79
316,1,0.25,0.1667,0.3333,80
317,2,0.75,0.6667,0.8333,80
318,3,0.7273,0.6667,0.8,80
319,4,0.7,0.6,0.8,80
320,1,0.9167,1.0,0.8333,81
321,2,0.5833,0.5,0.6667,81
322,3,0.9091,1.0,0.8333,81
323,4,0.6,0.6,0.6,81
324,1,0.5833,0.5,0.6667,82
325,2,0.9167,1.0,0.8333,82
326,3,0.6364,0.6667,0.6,82
327,4,1.0,1.0,1.0,82
328,1,0.5833,0.5,0.6667,83
329,2,0.5,0.6667,0.3333,83
330,3,0.8182,0.8,0.8333,83
331,4,0.6,0.6,0.6,83
332,1,1.0,1.0,1.0,101
333,2,1.0,1.0,1.0,101
334,3,1.0,1.0,1.0,101
