,subject_id,mean_pretrain_val_accuracy,std_pretrain_val_accuracy,layer unfrozen,learning_rate,dW_min,mean_finetune_val_accuracy,std_finetune_val_accuracy,Delta_accuracy
137,5,0.64205,0.1343226091666378,fc1fc2,0.0002,0.025,0.757576,0.0742268876755586,0.115526
138,5,0.64205,0.1343226091666378,fc1fc2,0.0004,0.025,0.68939425,0.1143913164460047,0.0473442499999999
139,5,0.64205,0.1343226091666378,fc1fc2,0.0006,0.025,0.666667,0.0857098271611837,0.024617
140,5,0.64205,0.1343226091666378,fc2,0.0001,0.025,0.7083335,0.1195431443496447,0.0662834999999999
141,5,0.64205,0.1343226091666378,fc2,0.0002,0.025,0.7121215,0.132087714686113,0.0700714999999999
142,5,0.64205,0.1343226091666378,fc2,0.0004,0.025,0.7121215,0.132087714686113,0.0700714999999999
143,5,0.64205,0.1343226091666378,fc2,0.0006,0.025,0.689394,0.1720884145025457,0.0473439999999999
144,5,0.64205,0.1343226091666378,r1,0.0001,0.025,0.68750025,0.0953009532704158,0.04545025
145,5,0.64205,0.1343226091666378,r1,0.0002,0.025,0.755682,0.0857934928534792,0.1136319999999999
146,5,0.64205,0.1343226091666378,r1,0.0004,0.025,0.7367425,0.1108887286742886,0.0946924999999999
147,5,0.64205,0.1343226091666378,r1,0.0006,0.025,0.68750025,0.0953009532704158,0.04545025
148,5,0.64205,0.1343226091666378,r1fc1fc2,0.0001,0.025,0.73295475,0.0113634999999999,0.0909047499999999
149,5,0.64205,0.1343226091666378,r1fc1fc2,0.0002,0.025,0.68939425,0.1143913164460047,0.0473442499999999
150,5,0.64205,0.1343226091666378,r1fc1fc2,0.0004,0.025,0.691288,0.1473382959790155,0.049238
151,5,0.64205,0.1343226091666378,r1fc1fc2,0.0006,0.025,0.6458335,0.1207971200608689,0.0037834999999999
164,6,0.912875,0.0681944462548087,fc1,0.0001,0.025,0.97916675,0.0416665,0.0662917499999999
165,6,0.912875,0.0681944462548087,fc1,0.0002,0.025,1.0,0.0,0.087125
166,6,0.912875,0.0681944462548087,fc1,0.0004,0.025,1.0,0.0,0.087125
167,6,0.912875,0.0681944462548087,fc1,0.0006,0.025,1.0,0.0,0.087125
168,6,0.912875,0.0681944462548087,fc1fc2,0.0001,0.025,0.97916675,0.0416665,0.0662917499999999
169,6,0.912875,0.0681944462548087,fc1fc2,0.0002,0.025,1.0,0.0,0.087125
170,6,0.912875,0.0681944462548087,fc1fc2,0.0004,0.025,1.0,0.0,0.087125
171,6,0.912875,0.0681944462548087,fc1fc2,0.0006,0.025,1.0,0.0,0.087125
172,6,0.912875,0.0681944462548087,fc2,0.0001,0.025,0.9564395,0.0503943334413701,0.0435645
173,6,0.912875,0.0681944462548087,fc2,0.0002,0.025,0.9564395,0.0503943334413701,0.0435645
174,6,0.912875,0.0681944462548087,fc2,0.0004,0.025,0.9564395,0.0503943334413701,0.0435645
175,6,0.912875,0.0681944462548087,fc2,0.0006,0.025,0.9564395,0.0503943334413701,0.0435645
176,6,0.912875,0.0681944462548087,r1,0.0001,0.025,0.95833325,0.0833334999999999,0.04545825
177,6,0.912875,0.0681944462548087,r1,0.0002,0.025,0.95833325,0.0833334999999999,0.04545825
178,6,0.912875,0.0681944462548087,r1,0.0004,0.025,0.97916675,0.0416665,0.0662917499999999
179,6,0.912875,0.0681944462548087,r1,0.0006,0.025,0.9375,0.125,0.024625
180,6,0.912875,0.0681944462548087,r1fc1fc2,0.0001,0.025,0.95833325,0.0833334999999999,0.04545825
181,6,0.912875,0.0681944462548087,r1fc1fc2,0.0002,0.025,0.9564395,0.0503943334413701,0.0435645
182,6,0.912875,0.0681944462548087,r1fc1fc2,0.0004,0.025,0.95833325,0.0833334999999999,0.04545825
183,6,0.912875,0.0681944462548087,r1fc1fc2,0.0006,0.025,0.9564395,0.0503943334413701,0.0435645
196,7,0.93145,0.0462071062355853,fc1,0.0001,0.025,0.97727275,0.0454545,0.04582275
